Query_ID,Words
126,"['flu', 'swine', 'country', 'h1n1', 'the']"
127,"['s', 'the', 'said', 'bdnews24', 'com']"
128,"['train', 'said', 'bdnews24', 'com', 'the']"
129,"['s', 'jackson', 'michael', 'the', 'com']"
130,"['price', 'said', 'oil', 'the', 'petroleum']"
131,"['journalist', 'said', 'the', 'murder', 'abduction']"
132,"['obama', 'barack', 's', 'bdnews24', 'com']"
133,"['abu', 'ghraib', 'said', 'u', 'prison']"
134,"['bdnews24', 'com', 'ban', 'said', 'the']"
135,"['india', 'said', 'positive', 'food', 'factor']"
136,"['piracy', 'the', 'said', 'com', 'bdnews24']"
137,"['ltte', 'tiger', 'tamil', 'military', 'said']"
138,"['india', 'positive', 'factor', 'food', 'woman']"
139,"['pirate', 'somali', 'ship', 'reuters', 'said']"
140,"['said', 's', 'the', 'life', 'water']"
141,"['said', 'birth', 'born', 'baby', 'bdnews24']"
142,"['tree', 'said', 'the', 'com', 'bdnews24']"
143,"['tata', 'nano', 'motor', 'car', 's']"
144,"['bhopal', 'said', 'india', 'people', 'bdnews24']"
145,"['said', 'bhutto', 'benazir', 'assassination', 'leader']"
146,"['s', 'ram', 'bdnews24', 'com', 'court']"
147,"['india', 'crime', 'war', 'cyber', 'the']"
148,"['site', 'networking', 'social', 'said', 'facebook']"
149,"['delhi', 's', 'commonwealth', 'new', 'com']"
150,"['s', 'gate', 'bill', 'said', 'year']"
151,"['prize', 'nobel', 'the', 's', 'bdnews24']"
152,"['india', 'missile', 'test', 'said', 'the']"
153,"['the', 'solar', 'said', 's', 'system']"
154,"['com', 'bdnews24', 's', 'may', 'said']"
155,"['mumbai', 'said', 'reuters', 'militant', 'taj']"
156,"['the', 's', 'indian', 'minister', 'tharoor']"
157,"['film', 'said', 's', 'indian', 'com']"
158,"['afghanistan', 'attack', 'said', 'bdnews24', 'com']"
159,"['hasina', 'sheikh', 'dhaka', 'election', 'com']"
160,"['war', 'iraq', 'said', '2003', 's']"
161,"['said', 'terrorism', 'the', 'bush', 'bdnews24']"
162,"['tornado', 'com', 'people', 'bdnews24', 'said']"
163,"['india', 'tiger', 'said', 'reuters', 'conservation']"
164,"['jackson', 's', 'michael', 'the', 'said']"
165,"['marriage', 'said', 'law', 'divorce', 'the']"
166,"['said', 's', 'air', 'disaster', 'reuters']"
167,"['chechen', 'rebel', 'russia', 'said', 'com']"
168,"['kyi', 'suu', 'house', 'arrest', 'year']"
169,"['attack', 'reuters', 'bdnews24', 'com', 'said']"
170,"['hockey', 'bangladesh', 'bdnews24', 'national', 'the']"
171,"['the', 'case', 'court', 'bdnews24', 's']"
172,"['india', 'positive', 'factor', 'said', 'female']"
173,"['olympics', 'beijing', 's', 'com', 'bdnews24']"
174,"['said', 'economic', 'year', 'slump', 'bdnews24']"
175,"['tendulkar', 's', 'run', 'india', 'sachin']"
